Resource_ID,Resource_Type,Resource_Name,Region,Event_time,User_name,Event_name,account_id,delta,Request_ID,Type,Creation_Date
,,logs.amazonaws.com,us-east-1,2024-01-01T12:03:14Z,vishal,DescribeMetricFilters,505227143833.0,{'limit': 50},d30353c7-4b7e-4058-9cc1-b28bbe83a6be,IAMUser,2024-01-01T04:30:57Z
,,logs.amazonaws.com,us-east-1,2024-01-01T12:03:14Z,vishal,DescribeMetricFilters,505227143833.0,{'limit': 50},f47d5175-7bf6-40d4-901f-4bd686b712e0,IAMUser,2024-01-01T04:30:57Z
,,health.amazonaws.com,us-east-1,2024-01-01T12:03:16Z,vishal,DescribeEventAggregates,505227143833.0,"{'filter': {'startTimes': [{'from': 'Dec 25, 2023, 12:03:16 PM'}], 'eventStatusCodes': ['open', 'upcoming']}, 'aggregateField': 'eventTypeCategory'}",8b9849d9-044a-4438-9db0-0b65f8900a6a,IAMUser,2024-01-01T04:30:57Z
,['AWS::S3::Bucket'],s3.amazonaws.com,us-east-1,2024-01-01T12:03:27Z,,GetBucketAcl,,"{'bucketName': 'aws-cloudtrail-logs-505227143833-79ef5c19', 'Host': 'aws-cloudtrail-logs-505227143833-79ef5c19.s3.us-east-1.amazonaws.com', 'acl': ''}",753AJ054K00T82HC,AWSService,
,,health.amazonaws.com,us-east-1,2024-01-01T12:03:16Z,vishal,DescribeEventAggregates,505227143833.0,"{'aggregateField': 'eventTypeCategory', 'filter': {'eventStatusCodes': ['open', 'upcoming'], 'startTimes': [{'from': 'Dec 25, 2023 12:03:16 PM'}]}}",8b9849d9-044a-4438-9db0-0b65f8900a6a,IAMUser,2024-01-01T04:30:57Z
,,health.amazonaws.com,us-east-1,2024-01-01T12:03:26Z,vishal,DescribeEventAggregates,505227143833.0,"{'aggregateField': 'eventTypeCategory', 'filter': {'eventStatusCodes': ['open', 'upcoming'], 'startTimes': [{'from': 'Dec 25, 2023 12:03:26 PM'}]}}",7044b102-d7e0-49f4-80e2-38432ae7d2af,IAMUser,2024-01-01T04:30:57Z
,,health.amazonaws.com,us-east-1,2024-01-01T12:03:26Z,vishal,DescribeEventAggregates,505227143833.0,"{'aggregateField': 'eventTypeCategory', 'filter': {'eventStatusCodes': ['open', 'upcoming'], 'startTimes': [{'from': 'Dec 25, 2023 12:03:26 PM'}]}}",049b07ba-a8fe-4583-9fb0-6f81c070811b,IAMUser,2024-01-01T04:30:57Z
,,health.amazonaws.com,us-east-1,2024-01-01T12:03:27Z,vishal,DescribeEventAggregates,505227143833.0,"{'aggregateField': 'eventTypeCategory', 'filter': {'eventStatusCodes': ['open', 'upcoming'], 'startTimes': [{'from': 'Dec 25, 2023 12:03:27 PM'}]}}",08a50ac4-fd60-45b3-a101-4206eacf0976,IAMUser,2024-01-01T04:30:57Z
,,health.amazonaws.com,us-east-1,2024-01-01T12:03:23Z,vishal,DescribeEventAggregates,505227143833.0,"{'filter': {'startTimes': [{'from': 'Dec 25, 2023, 12:03:23 PM'}], 'eventStatusCodes': ['open', 'upcoming']}, 'aggregateField': 'eventTypeCategory'}",6934cb28-5a68-48d5-aa7f-b47c710b1f19,IAMUser,2024-01-01T04:30:57Z
,,logs.amazonaws.com,us-east-1,2024-01-01T12:03:35Z,,CreateLogStream,505227143833.0,"{'logGroupName': '/aws/lambda/CloudTrail-testing-lambda', 'logStreamName': '2024/01/01/[$LATEST]a6857a0fb70243e180c9da535e59627f'}",a164c93f-6473-44f6-8a9a-bc3fa2b8561c,AssumedRole,2024-01-01T12:03:28Z
,['AWS::S3::Bucket'],s3.amazonaws.com,us-east-1,2024-01-01T12:05:50Z,,GetBucketAcl,,"{'bucketName': 'aws-cloudtrail-logs-505227143833-79ef5c19', 'Host': 'aws-cloudtrail-logs-505227143833-79ef5c19.s3.us-east-1.amazonaws.com', 'acl': ''}",J7VWD8D9Y8N3M09B,AWSService,
,,health.amazonaws.com,us-east-1,2024-01-01T12:08:24Z,vishal,DescribeEventAggregates,505227143833.0,"{'filter': {'startTimes': [{'from': 'Dec 25, 2023, 12:08:24 PM'}], 'eventStatusCodes': ['open', 'upcoming']}, 'aggregateField': 'eventTypeCategory'}",75f1a05a-da0f-4b28-a8de-2ed6d87377f9,IAMUser,2024-01-01T04:30:57Z
NA,['AWS::IAM::Role'],sts.amazonaws.com,us-east-1,2024-01-02T10:01:38Z,NA,AssumeRole,NA,"{'roleArn': 'arn:aws:iam::505227143833:role/cloudtrail-lambda-role', 'roleSessionName': 'CloudTrail-testing-lambda'}",aa4aae09-03cf-43d0-a9fe-7aa353067923,AWSService,NA
NA,NA,lambda.amazonaws.com,us-east-1,2024-01-02T10:01:34Z,vishal,GetFunction20150331v2,505227143833,"{'functionName': 'CloudTrail-testing-lambda', 'qualifier': '$LATEST'}",12fb558e-117f-47ed-a78e-8fd64bf95062,IAMUser,2024-01-02T04:31:52Z
NA,NA,lambda.amazonaws.com,us-east-1,2024-01-02T10:01:36Z,vishal,GetFunction20150331v2,505227143833,{'functionName': 'CloudTrail-testing-lambda'},93ee2326-f247-445d-ab7e-8c3d2fa394e4,IAMUser,2024-01-02T04:31:52Z
NA,NA,lambda.amazonaws.com,us-east-1,2024-01-02T10:01:35Z,vishal,GetFunction20150331v2,505227143833,{'functionName': 'CloudTrail-testing-lambda'},cc73531f-d4fa-4c68-a4c9-913235647c3b,IAMUser,2024-01-02T04:31:52Z
NA,['AWS::S3::Bucket'],s3.amazonaws.com,us-east-1,2024-01-02T10:01:45Z,NA,GetBucketAcl,NA,"{'bucketName': 'aws-cloudtrail-logs-505227143833-79ef5c19', 'Host': 'aws-cloudtrail-logs-505227143833-79ef5c19.s3.us-east-1.amazonaws.com', 'acl': ''}",YW06GFJ3BMFTKV3B,AWSService,NA
NA,['AWS::Logs::LogStream'],logs.amazonaws.com,us-east-1,2024-01-02T10:01:57Z,vishal,GetLogEvents,505227143833,"{'logGroupName': '/aws/lambda/CloudTrail-testing-lambda', 'logStreamName': '2024/01/02/[$LATEST]03f36a09981248a987da63bd8a494085', 'nextToken': 'f/38004700418785426237021329158500693087460725260847874141/s', 'limit': 200, 'startFromHead': True, 'unmask': False}",28283143-59dc-49e5-a732-efe52a130c7d,IAMUser,2024-01-02T04:31:52Z
NA,['AWS::Logs::LogStream'],logs.amazonaws.com,us-east-1,2024-01-02T10:01:57Z,vishal,GetLogEvents,505227143833,"{'logGroupName': '/aws/lambda/CloudTrail-testing-lambda', 'logStreamName': '2024/01/02/[$LATEST]03f36a09981248a987da63bd8a494085', 'nextToken': 'b/38004693568665523602309579824271895680170702947401859072/s', 'limit': 200, 'startFromHead': False, 'unmask': False}",509a9fb0-ec5d-4ace-a57a-eb47c9dae05a,IAMUser,2024-01-02T04:31:52Z
NA,NA,lambda.amazonaws.com,us-east-1,2024-01-02T10:01:35Z,vishal,GetRuntimeManagementConfig,505227143833,{'functionName': 'arn:aws:lambda:us-east-1:505227143833:function:CloudTrail-testing-lambda'},29711d66-89ef-4534-a371-2bc8fb11639f,IAMUser,2024-01-02T04:31:52Z
NA,NA,logs.amazonaws.com,us-east-1,2024-01-02T10:01:53Z,vishal,ListAnomalies,505227143833,{'limit': 50},695a5db3-b475-44fd-a0e3-1e871a6f5cfe,IAMUser,2024-01-02T04:31:52Z
NA,['AWS::Logs::LogGroup'],logs.amazonaws.com,us-east-1,2024-01-02T10:01:54Z,vishal,DescribeLogStreams,505227143833,"{'logGroupName': '/aws/lambda/CloudTrail-testing-lambda', 'orderBy': 'LastEventTime', 'descending': True, 'limit': 50, 'filterExpiredLogStreams': True}",2d564214-6cea-43b9-9031-c7967d261b73,IAMUser,2024-01-02T04:31:52Z
NA,['AWS::Logs::LogGroup'],logs.amazonaws.com,us-east-1,2024-01-02T10:01:54Z,vishal,DescribeLogStreams,505227143833,"{'logGroupName': '/aws/lambda/CloudTrail-testing-lambda', 'orderBy': 'LastEventTime', 'descending': True, 'nextToken': 'Kwfr0bfVKkYk4OrYazFRiRQjd_hnL-H2CVPwxeAZeONaN-fCIlTZhCQvH3pZjf9fyVgyeeon9wgnsJe4a7cmr27UaJ8xuT-p8Lg4ULlP61vOQYllBmG2qNqqVfT7XIwSGQ6BMDkMwaXBrfIeSxy827DrrNSon0Wz8oLWFSf99xmATC_ZsmvZ3FC9R-ixRxdAU5YnIeb7xc0wyXOVp1p6Ts71Ri6Q6dWbOEi6H5GwFWWjFPhKtJwKXR1Y0Zc9mucIc7OHf2TktEzfYLq8SSyItCHdqt5foSMgdhtIw6mMLVWbnHzveYz4Pn6ZozagBdXG_D_6vb3wDNRy5uJaR7weCaE2C2eAZri_q0C10MvviCPzckW9cVIAmYPSWRM-DBUYmV1IGHlRxExM5VNOWYjDUTJHPjtHwYB4hSMoGFEFZAg', 'limit': 50, 'filterExpiredLogStreams': True}",0409cb5f-3d7b-459a-9382-03e8e098fd52,IAMUser,2024-01-02T04:31:52Z
NA,NA,logs.amazonaws.com,us-east-1,2024-01-02T10:01:42Z,NA,CreateLogStream,505227143833,"{'logGroupName': '/aws/lambda/CloudTrail-testing-lambda', 'logStreamName': '2024/01/02/[$LATEST]03f36a09981248a987da63bd8a494085'}",a30d6f5d-a0f5-4664-82c8-3faa152ca3a5,AssumedRole,2024-01-02T10:01:38Z
NA,NA,logs.amazonaws.com,us-east-1,2024-01-02T10:01:53Z,vishal,ListLogAnomalyDetectors,505227143833,,78d6818e-0551-43f6-8107-f3ec63ee9310,IAMUser,2024-01-02T04:31:52Z
NA,['AWS::Logs::LogGroup'],logs.amazonaws.com,us-east-1,2024-01-02T10:01:54Z,vishal,DescribeLogStreams,505227143833,"{'logGroupName': '/aws/lambda/CloudTrail-testing-lambda', 'orderBy': 'LastEventTime', 'descending': True, 'limit': 50, 'filterExpiredLogStreams': True}",73a598d1-9509-46b9-b33e-00fa44205d3d,IAMUser,2024-01-02T04:31:52Z
